name,team,batting_style,bowling_style,player_role
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder
Michael van Lingen,Namibia,Left hand Bat,Left arm Medium,Bowling Allrounder
Divan la Cock,Namibia,Right hand Bat,Legbreak,Opening Batter
Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batter
Stephan Baard,Namibia,Right hand Bat,Right arm Medium fast,Batter
Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder
JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder
Zane Green,Namibia,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler
Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,Bowler
Pramod Madushan,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
Chamika Karunaratne,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Wanindu Hasaranga de Silva,Sri Lanka,Right hand Bat,Legbreak,Allrounder
Pathum Nissanka,Sri Lanka,Right hand Bat,Top order Batter,"Isipathana College, Colombo"
Kusal Mendis,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder
Danushka Gunathilaka,Sri Lanka,Dana,Left hand Bat,Right arm Offbreak
Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,Right arm Medium,Top order Batter
Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder
Joel Wilson,West Indies,Umpire,Umpire & Referee,Explore Statsguru Analysis
Rod Tucker,Australia,Left hand Bat,Right arm Medium,Umpire
Paul Reiffel,Australia,Pistol,Right hand Bat,Right arm Fast medium
Marais Erasmus,South Africa,Right hand Bat,Right arm Fast medium,"DF Malan High School, Paarl Teachers Training College, Stellenbosch University"
Andy Pycroft,Zimbabwe,Right hand Bat,Right arm Offbreak,"Referee, Coach"
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder
Junaid Siddique,U.A.E.,Right hand Bat,Right arm Medium fast,Bowler
Chirag Suri,U.A.E.,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter
Muhammad Waseem,U.A.E.,Right hand Bat,Right arm Medium,Opening Batter
Kashif Daud,U.A.E.,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Vriitya Aravind,U.A.E.,Right hand Bat,Wicketkeeper,Batting & Fielding
Zawar Farid,U.A.E.,Right hand Bat,Right arm Medium,Bowler
Basil Hameed,U.A.E.,Right hand Bat,Right arm Offbreak,Middle order Batter
Chundangapoyil Rizwan,U.A.E.,Right hand Bat,Legbreak Googly,Middle order Batter
Aayan Afzal Khan,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Karthik Meiyappan,U.A.E.,Right hand Bat,Legbreak,Bowler
Zahoor Khan,U.A.E.,Right hand Bat,Right arm Medium fast,Bowler
Fred Klaassen,Netherlands,Right hand Bat,Left arm Fast medium,Bowler
Tim Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder
Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
Roelof van der Merwe,Netherlands,Roela,Right hand Bat,Slow Left arm Orthodox
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium fast,Opening Batter
Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter
Colin Ackermann,Netherlands,Ackers,Right hand Bat,Right arm Offbreak
Tom Cooper,Netherlands,Coops,Right hand Bat,Right arm Offbreak
Scott Edwards,Netherlands,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Richard Kettleborough,England,Ketts,Left hand Bat,Right arm Medium
Ranjan Madugalle,Sri Lanka,Right hand Bat,Right arm Offbreak,Middle order Batter
George Munsey,Scotland,Left hand Bat,Right arm Medium fast,Opening Batter
Michael Jones,Scotland,Right hand Bat,Right arm Offbreak,Top order Batter
Matthew Cross,Scotland,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Richie Berrington,Scotland,Right hand Bat,Right arm Medium fast,Top order Batter
Calum MacLeod,Scotland,"Cloudy, Highlander, Scot",Right hand Bat,"Right arm Medium fast, Right arm Offbreak"
Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder
Chris Greaves,Scotland,Right hand Bat,Legbreak,Bowler
Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler
Josh Davey,Scotland,Right hand Bat,Right arm Medium fast,Bowler
Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler
Brad Wheal,Scotland,Right hand Bat,Right arm Fast medium,Bowler
Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler
Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler
Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Odean Smith,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Evin Lewis,West Indies,Left hand Bat,Opening Batter,Batting & Fielding
Brandon King,West Indies,Right hand Bat,Top order Batter,Batting & Fielding
Nicholas Pooran,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper
Shamarh Brooks,West Indies,Right hand Bat,Legbreak,Top order Batter
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter
Aleem Dar,Pakistan,Right hand Bat,Legbreak,Umpire
Paul Wilson,Australia,Right hand Bat,Right arm Fast medium,"Umpire, Coach"
Chris Brown,New Zealand,Right hand Bat,Right arm Fast medium,Umpire
Kumar Dharmasena,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder
Chris Broad,England,"Walter, Broodie",Left hand Bat,Right arm Medium
Sikandar Raza,Zimbabwe,Right hand Bat,Right arm Offbreak,Batting Allrounder
Regis Chakabva,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper
Craig Ervine,Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter
Wessly Madhevere,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
Sean Williams,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter
Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter
Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter
Luke Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Tendai Chatara,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Richard Ngarava,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler
Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder
Simi Singh,Ireland,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder
Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder
Andy Balbirnie,Ireland,Right hand Bat,Right arm Offbreak,Occasional Wicketkeeper
Lorcan Tucker,Ireland,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder
Timm van der Gugten,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder
Aryan Lakra,U.A.E.,Left hand Bat,Slow Left arm Orthodox,Bowler
Johnson Charles,West Indies,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Tony Munyonga,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,Bowler
Binura Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler
Richard Illingworth,England,Right hand Bat,Slow Left arm Orthodox,Bowler
Alishan Sharafu,U.A.E.,Right hand Bat,Right arm Medium,Opening Batter
Fahad Nawaz,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Allrounder
